date,week,start_time,pair_number,plot,treatment,humidity,cloud_cover,temperature_C,wind_min,wind_max,plant,pollinator,sex_queen_worker,num_total_visits,num_unique_observations,observer,notes,date_entered,keep_remove,original_name_entered,,plant,pollinator
13-Jul-17,week_2,10:15,10,10_5,control,0.53,0.4,22.1,1.3,1.8,potentilla_gracilis,andrena_birtwelli,NA,3,1,rgd,NA,20-Jul-17,keep,andrena_birtwelli,,,
14-Jul-17,week_2,9:35,7,7_6,removal,0.508,0.4,21.5,2.2,2.8,potentilla_gracilis,andrena_cyanophila,NA,1,1,rgd,"Originally labeled as B3; ""collected andrena, larger than birtwelli with orange tip""",21-Jul-17,keep,andrena_cyanophila,,,
10-Jul-17,week_2,15:50,6,6_7,control,0.4,0.6,28.5,1.2,1.6,helianthella_quinquenervis,arctophila_flagrans,NA,1,1,jab,NA,20-Jul-17,keep,arctophila_flagrans,,,
10-Jul-17,week_2,15:05,7,7_9,control,0.323,1,23.5,0.8,1.2,helianthella_quinquenervis,arctophila_flagrans,NA,1,1,jab,NA,20-Jul-17,keep,arctophila_flagrans,,,
10-Jul-17,week_2,8:55,10,10_5,control,0.4,0.02,22.4,1.8,2.8,vicia_americana,bombus_appositus,worker,1,1,jab,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,10:10,8,8_20,control,0.345,0.05,23.4,3,3.7,helianthella_quinquenervis,bombus_appositus,queen,2,2,rgd,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,9:20,3,3_13,removal,0.6,0.05,20.5,0.9,1.6,vicia_americana,bombus_appositus,worker,4,1,jab,NA,19-Jul-17,keep,bombus_appositus,,,
11-Jul-17,week_2,13:20,5,5_17,removal,0.395,0.5,23.7,0.9,2,potentilla_gracilis,bombus_appositus,worker,4,2,jab,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,10:55,7,7_6,removal,0.58,0.07,24.8,2,2.8,vicia_americana,bombus_appositus,worker,3,1,jab,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,10:55,7,7_6,removal,0.58,0.07,24.8,2,2.8,potentilla_gracilis,bombus_appositus,worker,8,1,jab,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,15:05,7,7_6,removal,0.323,1,23.5,0.8,1.2,vicia_americana,bombus_appositus,worker,5,2,rgd,NA,19-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,15:50,6,6_7,control,0.4,0.6,28.5,1.2,1.6,vicia_americana,bombus_appositus,worker,1,1,jab,NA,20-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,16:30,8,8_20,control,0.266,0.5,26.2,1,2.2,vicia_americana,bombus_appositus,worker,16,2,jab,NA,20-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,16:10,3,3_13,removal,0.335,0.5,26.5,2,4.2,vicia_americana,bombus_appositus,queen,1,1,jab,NA,20-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,16:10,3,3_13,removal,0.335,0.5,26.5,2,4.2,vicia_americana,bombus_appositus,worker,9,2,jab,NA,20-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,15:50,6,6_8,removal,0.4,0.6,28.5,1.2,1.6,vicia_americana,bombus_appositus,worker,9,1,rgd,NA,20-Jul-17,keep,bombus_appositus,,,
13-Jul-17,week_2,9:10,7,7_6,removal,0.693,0.2,15.4,0,0,vicia_americana,bombus_appositus,worker,6,1,rgd,NA,20-Jul-17,keep,bombus_appositus,,,
13-Jul-17,week_2,14:20,7,7_6,removal,0.557,0.9,18.7,2.7,4.1,vicia_americana,bombus_appositus,worker,8,1,rgd,NA,20-Jul-17,keep,bombus_appositus,,,
13-Jul-17,week_2,11:45,8,8_10,removal,0.47,0.8,22,1.3,1.7,potentilla_gracilis,bombus_appositus,worker,11,1,jab,NA,20-Jul-17,keep,bombus_appositus,,,
13-Jul-17,week_2,12:30,8,8_10,removal,0.479,0.95,20.7,3.7,5.2,vicia_americana,bombus_appositus,worker,3,1,jab,NA,20-Jul-17,keep,bombus_appositus,,,
14-Jul-17,week_2,8:55,5,5_14,control,0.601,0.1,19.3,1,1.9,delphinium_barbeyi,bombus_appositus,worker,3,1,jab,NA,21-Jul-17,keep,bombus_appositus,,,
14-Jul-17,week_2,9:35,7,7_6,removal,0.508,0.4,21.5,2.2,2.8,vicia_americana,bombus_appositus,queen,9,1,rgd,NA,21-Jul-17,keep,bombus_appositus,,,
10-Jul-17,week_2,8:55,10,10_5,control,0.4,0.02,22.4,1.8,2.8,helianthella_quinquenervis,bombus_bifarius,worker,2,1,jab,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,14:05,2,2_3,control,0.26,0.6,25.2,6,8.6,helianthella_quinquenervis,bombus_bifarius,worker,2,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,15:25,4,4_16,control,0.324,0.9,24.6,2.5,3.7,helianthella_quinquenervis,bombus_bifarius,worker,7,2,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,14:45,5,5_14,control,0.45,0.9,23,1.6,3.3,vicia_americana,bombus_bifarius,worker,3,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,10:55,7,7_9,control,0.58,0.07,24.8,2,2.8,potentilla_gracilis,bombus_bifarius,worker,3,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,11:40,9,9_15,control,0.304,0.2,28.6,1.3,2.5,potentilla_gracilis,bombus_bifarius,worker,2,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,14:45,10,10_11,removal,0.36,0.7,23,3.5,8,potentilla_gracilis,bombus_bifarius,worker,7,1,jab,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,12:05,4,4_18,removal,0.39,0.3,27.3,2.6,3.1,potentilla_gracilis,bombus_bifarius,worker,7,2,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,11:20,6,6_8,removal,0.372,0.15,26.6,1.2,2.6,potentilla_gracilis,bombus_bifarius,worker,1,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,15:05,7,7_6,removal,0.323,1,23.5,0.8,1.2,potentilla_gracilis,bombus_bifarius,queen,7,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,15:05,7,7_6,removal,0.323,1,23.5,0.8,1.2,potentilla_gracilis,bombus_bifarius,worker,2,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,11:30,1,1_1,control,0.68,1,16,0,0,potentilla_gracilis,bombus_bifarius,worker,1,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,10:45,1,1_1,control,0.53,0.45,21.4,2.3,3,potentilla_gracilis,bombus_bifarius,worker,3,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,14:45,10,10_5,control,0.36,0.7,23,3.5,8,potentilla_gracilis,bombus_bifarius,worker,8,2,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,9:00,10,10_5,control,0.65,0.85,16.5,1.5,2,helianthella_quinquenervis,bombus_bifarius,worker,12,4,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,15:10,2,2_3,control,0.43,0.85,22.8,2.9,3.7,potentilla_gracilis,bombus_bifarius,worker,10,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,9:55,2,2_3,control,0.54,0.75,20.7,1.5,3,helianthella_quinquenervis,bombus_bifarius,worker,13,3,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:00,2,2_3,control,0.446,0.45,23.4,1.3,1.6,helianthella_quinquenervis,bombus_bifarius,worker,12,6,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,8:35,3,3_12,control,0.79,0.8,14,1.1,2.3,helianthella_quinquenervis,bombus_bifarius,worker,2,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,9:55,3,3_12,control,0.592,0.35,19.7,1.9,3,helianthella_quinquenervis,bombus_bifarius,worker,18,6,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,13:45,4,4_16,control,0.502,0.65,21,2.8,4.1,helianthella_quinquenervis,bombus_bifarius,worker,9,3,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,10:50,4,4_16,control,0.695,0.9,18.1,1.4,3.1,helianthella_quinquenervis,bombus_bifarius,worker,9,3,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,12:05,4,4_16,control,0.495,0.85,22,2.4,3.8,helianthella_quinquenervis,bombus_bifarius,worker,15,4,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,13:20,5,5_14,control,0.395,0.5,23.7,0.9,2,potentilla_gracilis,bombus_bifarius,worker,8,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,10:20,5,5_14,control,0.682,0.9,19,0.8,1.8,helianthella_quinquenervis,bombus_bifarius,worker,10,2,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,10:20,5,5_14,control,0.682,0.9,19,0.8,1.8,potentilla_gracilis,bombus_bifarius,worker,10,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:25,5,5_14,control,0.49,0.6,24,2.5,3.4,helianthella_quinquenervis,bombus_bifarius,worker,12,4,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:25,5,5_14,control,0.49,0.6,24,2.5,3.4,potentilla_gracilis,bombus_bifarius,worker,11,2,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,11:10,6,6_7,control,0.66,1,16,1.3,2,helianthella_quinquenervis,bombus_bifarius,worker,10,3,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,8:35,6,6_7,control,0.73,0.35,15.3,0,0.7,helianthella_quinquenervis,bombus_bifarius,worker,12,6,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,9:25,7,7_9,control,0.62,0.75,18,2,2.5,helianthella_quinquenervis,bombus_bifarius,worker,12,2,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,9:10,7,7_9,control,0.693,0.2,15.4,0,0,helianthella_quinquenervis,bombus_bifarius,worker,24,7,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,14:20,7,7_9,control,0.577,0.9,18.7,2.7,4.1,helianthella_quinquenervis,bombus_bifarius,worker,2,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,11:50,8,8_20,control,0.655,1,17,1.8,2.1,helianthella_quinquenervis,bombus_bifarius,worker,6,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:45,8,8_20,control,0.47,0.8,22,1.3,1.7,potentilla_gracilis,bombus_bifarius,worker,21,4,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:45,8,8_20,control,0.47,0.8,22,1.3,1.7,helianthella_quinquenervis,bombus_bifarius,worker,7,2,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,9:35,9,9_15,control,0.58,0.3,20,2.3,2.8,helianthella_quinquenervis,bombus_bifarius,worker,5,3,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,10:45,1,1_2,removal,0.53,0.45,21.4,2.3,3,potentilla_gracilis,bombus_bifarius,worker,6,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,10:45,1,1_2,removal,0.53,0.45,21.4,2.3,3,adenolinum_lewisii,bombus_bifarius,worker,2,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,13:40,3,3_13,removal,0.326,0.75,22.6,1.3,1.6,potentilla_gracilis,bombus_bifarius,worker,1,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,12:05,4,4_18,removal,0.495,0.85,22,2.4,3.8,potentilla_gracilis,bombus_bifarius,worker,6,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,11:10,6,6_8,removal,0.66,1,16,1.3,2,potentilla_gracilis,bombus_bifarius,worker,4,2,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,11:50,8,8_10,removal,0.655,1,17,1.8,2.1,potentilla_gracilis,bombus_bifarius,worker,3,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:45,8,8_10,removal,0.47,0.8,22,1.3,1.7,potentilla_gracilis,bombus_bifarius,worker,12,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,14:20,9,9_19,removal,0.369,0.8,24,2.5,4,potentilla_gracilis,bombus_bifarius,worker,3,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,12:10,9,9_19,removal,0.6,0.95,19,0,0,potentilla_gracilis,bombus_bifarius,worker,4,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,8:35,1,1_1,control,0.732,0.1,14,0.8,1.3,helianthella_quinquenervis,bombus_bifarius,worker,6,2,rgd,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,11:30,10,10_5,control,0.42,0.4,21.2,1.8,3.7,potentilla_gracilis,bombus_bifarius,worker,5,1,rgd,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,10:25,2,2_3,control,0.537,0.4,19.7,2.5,3.7,helianthella_quinquenervis,bombus_bifarius,worker,7,3,jab,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,11:10,3,3_12,control,0.524,0.4,22.1,1.5,2.6,helianthella_quinquenervis,bombus_bifarius,worker,5,1,jab,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,10:05,4,4_16,control,0.52,0.3,21.3,0,1.1,helianthella_quinquenervis,bombus_bifarius,worker,2,1,rgd,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,8:55,5,5_14,control,0.601,0.1,19.3,1,1.9,helianthella_quinquenervis,bombus_bifarius,worker,25,8,jab,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,11:50,6,6_7,control,0.458,0.5,24,1,2.5,helianthella_quinquenervis,bombus_bifarius,worker,2,1,jab,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,9:35,7,7_9,control,0.508,0.4,21.5,2.2,2.8,helianthella_quinquenervis,bombus_bifarius,worker,7,4,jab,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,9:15,8,8_20,control,0.535,0.2,19.9,1.1,1.7,helianthella_quinquenervis,bombus_bifarius,worker,25,6,rgd,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,10:45,9,9_15,control,0.508,0.4,21.2,2.3,3.6,helianthella_quinquenervis,bombus_bifarius,worker,2,2,rgd,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,11:30,10,10_11,removal,0.42,0.4,21.2,1.8,3.7,potentilla_gracilis,bombus_bifarius,worker,8,1,jab,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,11:50,6,6_8,removal,0.458,0.5,24,1,2.5,potentilla_gracilis,bombus_bifarius,worker,17,2,rgd,NA,21-Jul-17,keep,bombus_bifarius,,,
14-Jul-17,week_2,9:15,8,8_10,removal,0.535,0.2,19.9,1.1,1.7,potentilla_gracilis,bombus_bifarius,worker,2,1,jab,NA,21-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,13:40,10,10_5,control,0.3,0.5,27.6,2.7,4.8,vicia_americana,bombus_californicus,worker,2,1,jab,NA,19-Jul-17,keep,bombus_californicus,,,
10-Jul-17,week_2,11:20,6,6_7,control,0.372,0.15,26.6,1.2,2.6,helianthella_quinquenervis,bombus_californicus,queen,1,1,jab,NA,19-Jul-17,keep,bombus_californicus,,,
10-Jul-17,week_2,10:55,7,7_9,control,0.58,0.07,24.8,2,2.8,vicia_americana,bombus_californicus,queen,2,1,rgd,NA,19-Jul-17,keep,bombus_californicus,,,
10-Jul-17,week_2,10:55,7,7_9,control,0.58,0.07,24.8,2,2.8,castilleja_sulphurea,bombus_californicus,queen,8,1,rgd,NA,19-Jul-17,keep,bombus_californicus,,,
10-Jul-17,week_2,11:40,9,9_15,control,0.304,0.2,28.6,1.3,2.5,vicia_americana,bombus_californicus,worker,3,1,rgd,NA,19-Jul-17,keep,bombus_californicus,,,
10-Jul-17,week_2,14:05,2,2_4,removal,0.26,0.6,25.2,6,8.6,vicia_americana,bombus_californicus,worker,3,1,jab,NA,19-Jul-17,keep,bombus_californicus,,,
10-Jul-17,week_2,10:55,7,7_6,removal,0.58,0.07,24.8,2,2.8,vicia_americana,bombus_californicus,queen,8,1,jab,NA,19-Jul-17,keep,bombus_californicus,,,
10-Jul-17,week_2,15:05,7,7_6,removal,0.323,1,23.5,0.8,1.2,vicia_americana,bombus_californicus,queen,25,3,rgd,NA,19-Jul-17,keep,bombus_californicus,,,
13-Jul-17,week_2,9:55,3,3_12,control,0.592,0.35,19.7,1.9,3,helianthella_quinquenervis,bombus_californicus,queen,5,1,jab,NA,20-Jul-17,keep,bombus_californicus,,,
12-Jul-17,week_2,10:50,4,4_16,control,0.695,0.9,18.1,1.4,3.1,helianthella_quinquenervis,bombus_californicus,queen,1,1,rgd,NA,20-Jul-17,keep,bombus_californicus,,,
10-Jul-17,week_2,15:05,7,7_9,control,0.323,1,23.5,0.8,1.2,vicia_americana,bombus_californicus,queen,6,1,jab,NA,20-Jul-17,keep,bombus_californicus,,,
12-Jul-17,week_2,12:10,9,9_15,control,0.6,0.95,19,0,0,vicia_americana,bombus_californicus,worker,1,1,rgd,NA,20-Jul-17,keep,bombus_californicus,,,
12-Jul-17,week_2,8:35,3,3_13,removal,0.79,0.8,14,1.1,2.3,ligusticum_porteri,bombus_californicus,queen,1,1,rgd,NA,20-Jul-17,keep,bombus_californicus,,,
12-Jul-17,week_2,11:50,8,8_10,removal,0.655,1,17,1.8,2.1,vicia_americana,bombus_californicus,worker,1,1,rgd,NA,20-Jul-17,keep,bombus_californicus,,,
13-Jul-17,week_2,12:30,8,8_10,removal,0.479,0.95,20.7,3.7,5.2,vicia_americana,bombus_californicus,worker,3,1,jab,NA,20-Jul-17,keep,bombus_californicus,,,
14-Jul-17,week_2,8:55,5,5_14,control,0.601,0.1,19.3,1,1.9,vicia_americana,bombus_californicus,queen,3,1,jab,NA,21-Jul-17,keep,bombus_californicus,,,
14-Jul-17,week_2,8:55,5,5_14,control,0.601,0.1,19.3,1,1.9,delphinium_barbeyi,bombus_californicus,queen,2,1,jab,NA,21-Jul-17,keep,bombus_californicus,,,
14-Jul-17,week_2,11:50,6,6_7,control,0.458,0.5,24,1,2.5,potentilla_gracilis,bombus_californicus,worker,9,1,jab,NA,21-Jul-17,keep,bombus_californicus,,,
14-Jul-17,week_2,11:10,3,3_13,removal,0.524,0.4,22.1,1.5,2.6,vicia_americana,bombus_californicus,queen,5,1,rgd,NA,21-Jul-17,keep,bombus_californicus,,,
14-Jul-17,week_2,9:15,8,8_10,removal,0.535,0.2,19.9,1.1,1.7,potentilla_gracilis,bombus_californicus,worker,8,1,jab,NA,21-Jul-17,keep,bombus_californicus,,,
10-Jul-17,week_2,10:35,1,1_1,control,0.55,0.07,25.2,0.9,2.5,potentilla_gracilis,bombus_flavifrons,worker,6,2,jab,NA,19-Jul-17,keep,bombus_flavifrons,,,
10-Jul-17,week_2,8:55,10,10_5,control,0.4,0.02,22.4,1.8,2.8,helianthella_quinquenervis,bombus_flavifrons,worker,4,1,jab,NA,19-Jul-17,keep,bombus_flavifrons,,,
10-Jul-17,week_2,13:40,10,10_5,control,0.3,0.5,27.6,2.7,4.8,helianthella_quinquenervis,bombus_flavifrons,worker,5,2,jab,NA,19-Jul-17,keep,bombus_flavifrons,,,
11-Jul-17,week_2,13:40,3,3_12,control,0.326,0.75,22.6,1.3,1.6,helianthella_quinquenervis,bombus_flavifrons,worker,3,1,jab,NA,19-Jul-17,keep,bombus_flavifrons,,,
10-Jul-17,week_2,12:05,4,4_16,control,0.39,0.3,27.3,2.6,3.1,helianthella_quinquenervis,bombus_flavifrons,worker,4,1,jab,NA,19-Jul-17,keep,bombus_flavifrons,,,
10-Jul-17,week_2,15:25,4,4_16,control,0.324,0.9,24.6,2.5,3.7,helianthella_quinquenervis,bombus_flavifrons,worker,NA,NA,rgd,foraging on extra floral nectar,19-Jul-17,keep,bombus_flavifrons,,,
10-Jul-17,week_2,10:55,7,7_6,removal,0.58,0.07,24.8,2,2.8,vicia_americana,bombus_flavifrons,worker,3,1,jab,NA,19-Jul-17,keep,bombus_flavifrons,,,
12-Jul-17,week_2,9:55,2,2_3,control,0.54,0.75,20.7,1.5,3,helianthella_quinquenervis,bombus_flavifrons,worker,3,1,rgd,NA,20-Jul-17,keep,bombus_flavifrons,,,
